RICE17 chronology interpolated ages

Citation: James E. Lee, Edward J. Brook, Jeffrey P. Severinghaus, Thomas Blunier, Christo Buizert, T.J. Fudge, Howard Conway, Ed D. Waddington, Frédéric Parrenin, Dorthe Dahl-Jensen, Mai Winstrup, Paul Vallelonga, V. Gabriela Ciobanu, and Nancy Bertler: An 83,000 year old ice core from Roosevelt Island, Ross Sea, Antarctica, Climate of the Past.
 


Notes:
All ages are in years before present (BP), with present set to calendar year 1950 C.E.

0-343 m:	ice age interpolated from ALC
	 	gas ages interpolated b/w FCP's assuming piecewise constant accumulation and a Nye thinning profile

343-746 m:	gas and ice ages interpolated between FCP's assuming piecewise constant accumulation and a Nye thinning profile

>746 m:		gas and ice ages linearly interpolated between age control points
 

Column 1: Depth - meters below surface
Column 2: Ice_Age - years BP
Column 3: Gas_Age - years BP

For questions on the use or construction of this chronology, please contact:

<jlee@coas.oregonstate.edu>     James E. Lee

  
<brooke@geo.oregonstate.edu>	Ed Brook
698.2000 19535 19226
698.3000 19567 19257
698.4000 19598 19288
698.5000 19630 19319
698.6000 19662 19351
698.7000 19694 19382
698.8000 19726 19414
698.9000 19758 19445
699.0000 19790 19477
699.1000 19822 19509
699.2000 19854 19540
699.3000 19886 19572
699.4000 19909 19595
699.5000 19933 19618
699.6000 19957 19642
699.7000 19981 19665
699.8000 20005 19689
699.9000 20028 19712
700.0000 20052 19736
700.1000 20076 19759
700.2000 20100 19783
700.3000 20124 19806
700.4000 20149 19830
700.5000 20173 19854
700.6000 20197 19877
700.7000 20221 19901
700.8000 20245 19925
700.9000 20270 19949
701.0000 20295 19974
701.1000 20324 20004
701.2000 20353 20034
701.3000 20382 20064
701.4000 20412 20094
701.5000 20441 20124
701.6000 20471 20154
701.7000 20500 20185
701.8000 20530 20215
701.9000 20560 20245
702.0000 20589 20276
702.1000 20619 20306
702.2000 20649 20337
702.3000 20679 20367
702.4000 20709 20398
702.5000 20739 20429
702.6000 20769 20459
702.7000 20811 20503
702.8000 20861 20554
702.9000 20912 20605
703.0000 20962 20656
703.1000 21012 20707
703.2000 21063 20759
703.3000 21113 20810
703.4000 21164 20862
703.5000 21215 20913
703.6000 21266 20965
703.7000 21317 21017
703.8000 21368 21069
703.9000 21419 21121
704.0000 21470 21173
704.1000 21521 21225
704.2000 21573 21277
704.3000 21623 21329
704.4000 21672 21379
704.5000 21721 21429
704.6000 21771 21480
704.7000 21820 21531
704.8000 21870 21581
704.9000 21919 21632
705.0000 21969 21683
705.1000 22018 21734
705.2000 22068 21785
705.3000 22118 21836
705.4000 22168 21887
705.5000 22218 21938
705.6000 22268 21990
705.7000 22319 22041
705.8000 22369 22093
705.9000 22409 22132
706.0000 22448 22171
706.1000 22488 22210
706.2000 22527 22248
706.3000 22567 22287
706.4000 22607 22326
706.5000 22646 22365
706.6000 22686 22404
706.7000 22726 22444
706.8000 22766 22483
706.9000 22806 22522
707.0000 22846 22561
707.1000 22886 22601
707.2000 22926 22640
707.3000 22967 22680
707.4000 23014 22727
707.5000 23065 22777
707.6000 23115 22827
707.7000 23166 22878
707.8000 23216 22928
707.9000 23267 22979
708.0000 23318 23029
708.1000 23369 23080
708.2000 23420 23131
708.3000 23471 23182
708.4000 23522 23233
708.5000 23574 23284
708.6000 23625 23335
708.7000 23677 23386
708.8000 23728 23437
708.9000 23797 23504
709.0000 23867 23571
709.1000 23938 23639
709.2000 24008 23707
709.3000 24079 23775
709.4000 24150 23844
709.5000 24221 23912
709.6000 24292 23981
709.7000 24364 24049
709.8000 24435 24118
709.9000 24507 24187
710.0000 24578 24256
710.1000 24650 24325
710.2000 24722 24395
710.3000 24790 24460
710.4000 24853 24522
710.5000 24917 24584
710.6000 24980 24645
710.7000 25044 24707
710.8000 25108 24770
710.9000 25172 24832
711.0000 25236 24894
711.1000 25300 24957
711.2000 25364 25019
711.3000 25429 25082
711.4000 25493 25145
711.5000 25558 25208
711.6000 25623 25271
711.7000 25696 25343
711.8000 25778 25427
711.9000 25861 25510
712.0000 25943 25594
712.1000 26026 25677
712.2000 26109 25761
712.3000 26192 25845
712.4000 26276 25930
712.5000 26359 26014
712.6000 26443 26099
712.7000 26527 26184
712.8000 26611 26269
712.9000 26695 26354
713.0000 26779 26439
713.1000 26840 26501
713.2000 26896 26558
713.3000 26952 26614
713.4000 27008 26671
713.5000 27064 26728
713.6000 27120 26785
713.7000 27176 26842
713.8000 27233 26900
713.9000 27289 26957
714.0000 27346 27014
714.1000 27402 27072
714.2000 27459 27130
714.3000 27516 27188
714.4000 27583 27256
714.5000 27660 27333
714.6000 27737 27411
714.7000 27814 27489
714.8000 27891 27567
714.9000 27968 27646
715.0000 28046 27724
715.1000 28124 27803
715.2000 28201 27882
715.3000 28279 27961
715.4000 28358 28040
715.5000 28436 28119
715.6000 28514 28199
715.7000 28588 28274
715.8000 28658 28345
715.9000 28729 28417
716.0000 28799 28489
716.1000 28870 28561
716.2000 28941 28633
716.3000 29011 28705
716.4000 29083 28778
716.5000 29154 28850
716.6000 29225 28923
716.7000 29297 28996
716.8000 29368 29069
716.9000 29440 29142
717.0000 29499 29200
717.1000 29557 29258
717.2000 29615 29316
717.3000 29673 29374
717.4000 29732 29432
717.5000 29791 29490
717.6000 29849 29548
717.7000 29908 29606
717.8000 29967 29665
717.9000 30026 29724
718.0000 30086 29782
718.1000 30145 29841
718.2000 30211 29906
718.3000 30279 29974
718.4000 30347 30042
718.5000 30415 30110
718.6000 30484 30178
718.7000 30553 30247
718.8000 30621 30315
718.9000 30690 30384
719.0000 30760 30453
719.1000 30829 30522
719.2000 30898 30591
719.3000 30968 30660
719.4000 31072 30765
719.5000 31177 30870
719.6000 31282 30975
719.7000 31387 31081
719.8000 31492 31187
719.9000 31597 31293
720.0000 31703 31399
720.1000 31809 31505
720.2000 31915 31612
720.3000 32022 31719
720.4000 32128 31827
720.5000 32235 31934
720.6000 32343 32042
720.7000 32450 32150
720.8000 32571 32272
720.9000 32691 32395
721.0000 32812 32518
721.1000 32934 32641
721.2000 33056 32764
721.3000 33177 32888
721.4000 33300 33012
721.5000 33422 33136
721.6000 33545 33261
721.7000 33668 33386
721.8000 33792 33511
721.9000 33916 33636
722.0000 34040 33762
722.1000 34164 33888
722.2000 34289 34015
722.3000 34414 34142
722.4000 34539 34269
722.5000 34664 34396
722.6000 34790 34524
722.7000 34916 34652
722.8000 35043 34780
722.9000 35220 34957
723.0000 35397 35134
723.1000 35575 35312
723.2000 35754 35490
723.3000 35933 35669
723.4000 36112 35848
723.5000 36292 36027
723.6000 36472 36207
723.7000 36652 36388
723.8000 36833 36569
723.9000 37015 36750
724.0000 37240 36980
724.1000 37466 37210
724.2000 37693 37441
724.3000 37920 37672
724.4000 38148 37904
724.5000 38376 38137
724.6000 38605 38370
724.7000 38770 38532
724.8000 38936 38695
724.9000 39102 38858
725.0000 39268 39021
725.1000 39435 39185
725.2000 39602 39349
725.3000 39770 39514
725.4000 39839 39576
725.5000 39897 39627
725.6000 39956 39678
725.7000 40014 39730
725.8000 40073 39782
725.9000 40132 39833
726.0000 40191 39885
726.1000 40250 39937
726.2000 40309 39989
726.3000 40369 40042
726.4000 40429 40094
726.5000 40488 40147
726.6000 40548 40200
726.7000 40608 40252
726.8000 40669 40305
726.9000 40745 40384
727.0000 40836 40488
727.1000 40928 40593
727.2000 41020 40697
727.3000 41113 40802
727.4000 41205 40908
727.5000 41298 41014
727.6000 41392 41119
727.7000 41485 41226
727.8000 41579 41332
727.9000 41673 41439
728.0000 41767 41546
728.1000 41882 41673
728.2000 42186 41972
728.3000 42491 42273
728.4000 42797 42574
728.5000 43103 42876
728.6000 43411 43179
728.7000 43719 43483
728.8000 44026 43790
728.9000 44333 44098
729.0000 44641 44407
729.1000 44913 44683
729.2000 45150 44926
729.3000 45388 45169
729.4000 45626 45413
729.5000 45865 45658
729.6000 46105 45903
729.7000 46379 46182
729.8000 46788 46591
729.9000 47199 47002
730.0000 47611 47414
730.1000 47863 47664
730.2000 47954 47752
730.3000 48046 47840
730.4000 48138 47928
730.5000 48231 48017
730.6000 48323 48106
730.7000 48416 48196
730.8000 48510 48285
730.9000 48603 48375
731.0000 48672 48442
731.1000 48717 48487
731.2000 48762 48533
731.3000 48806 48578
731.4000 48851 48623
731.5000 48897 48669
731.6000 48942 48714
731.7000 48987 48760
731.8000 49033 48806
731.9000 49079 48852
732.0000 49124 48899
732.1000 49170 48945
732.2000 49217 48992
732.3000 49263 49038
732.4000 49309 49085
732.5000 49356 49132
732.6000 49403 49179
732.7000 49450 49227
732.8000 49497 49274
732.9000 49544 49322
733.0000 49592 49370
733.1000 49639 49418
733.2000 49687 49466
733.3000 49735 49514
733.4000 49783 49563
733.5000 49831 49611
733.6000 49879 49660
733.7000 49928 49709
733.8000 49977 49758
733.9000 50025 49807
734.0000 50074 49857
734.1000 50124 49906
734.2000 50173 49956
734.3000 50223 50006
734.4000 50272 50056
734.5000 50322 50107
734.6000 50372 50157
734.7000 50422 50208
734.8000 50473 50259
734.9000 50523 50310
735.0000 50574 50361
735.1000 50625 50412
735.2000 50676 50464
735.3000 50728 50516
735.4000 50779 50568
735.5000 50831 50620
735.6000 50883 50672
735.7000 50935 50725
735.8000 50987 50777
735.9000 51040 50830
736.0000 51092 50883
736.1000 51145 50937
736.2000 51198 50990
736.3000 51251 51044
736.4000 51305 51098
736.5000 51359 51152
736.6000 51412 51206
736.7000 51466 51261
736.8000 51521 51316
736.9000 51575 51370
737.0000 51630 51426
737.1000 51685 51481
737.2000 51740 51537
737.3000 51797 51595
737.4000 51859 51656
737.5000 51920 51719
737.6000 51981 51781
737.7000 52043 51843
737.8000 52105 51906
737.9000 52168 51969
738.0000 52230 52032
738.1000 52293 52096
738.2000 52356 52160
738.3000 52420 52224
738.4000 52483 52288
738.5000 52547 52353
738.6000 52611 52418
738.7000 52676 52483
738.8000 52740 52548
738.9000 52805 52614
739.0000 52870 52680
739.1000 52936 52746
739.2000 53002 52812
739.3000 53068 52879
739.4000 53134 52946
739.5000 53201 53013
739.6000 53267 53081
739.7000 53390 53204
739.8000 53568 53382
739.9000 53747 53561
740.0000 53926 53740
740.1000 54107 53921
740.2000 54288 54102
740.3000 54470 54284
740.4000 54653 54467
740.5000 54869 54682
740.6000 55162 54971
740.7000 55457 55262
740.8000 55753 55554
740.9000 56050 55847
741.0000 56349 56142
741.1000 56649 56438
741.2000 56951 56736
741.3000 57183 56968
741.4000 57347 57134
741.5000 57511 57300
741.6000 57675 57468
741.7000 57841 57636
741.8000 58007 57806
741.9000 58174 57975
742.0000 58342 58146
742.1000 58511 58318
742.2000 58680 58490
742.3000 58851 58663
742.4000 59022 58837
742.5000 59194 59012
742.6000 59354 59173
742.7000 59502 59319
742.8000 59651 59466
742.9000 59801 59614
743.0000 59951 59762
743.1000 60102 59912
743.2000 60254 60061
743.3000 60407 60212
743.4000 60561 60364
743.5000 60715 60516
743.6000 60870 60669
743.7000 61026 60823
743.8000 61183 60977
743.9000 61340 61133
744.0000 61499 61289
744.1000 61658 61446
744.2000 61818 61604
744.3000 61979 61763
744.4000 62141 61923
744.5000 62303 62083
744.6000 62467 62244
744.7000 62631 62407
744.8000 62796 62570
744.9000 62963 62734
745.0000 63130 62899
745.1000 63298 63064
745.2000 63467 63231
745.3000 63637 63399
745.4000 63808 63568
745.5000 63980 63737
745.6000 64152 63908
745.7000 64326 64079
745.8000 64501 64252
745.9000 64677 64425
746.0000 64854 64600
746.1000 74198 74000
746.2000 74380 74189
746.3000 74563 74377
746.4000 74745 74566
746.5000 74927 74754
746.6000 75110 74943
746.7000 75292 75131
746.8000 75474 75320
746.9000 75657 75509
747.0000 75839 75697
747.1000 76021 75886
747.2000 76204 76074
747.3000 76386 76263
747.4000 76568 76451
747.5000 76751 76640
747.6000 76933 76829
747.7000 77115 77017
747.8000 77298 77206
747.9000 76798 76698
748.0000 75616 75493
748.1000 74434 74289
748.2000 73253 73084
748.3000 72181 71992
748.4000 72104 71916
748.5000 72028 71840
748.6000 71951 71763
748.7000 71874 71687
748.8000 71797 71611
748.9000 71720 71534
749.0000 71643 71458
749.1000 71566 71382
749.2000 71489 71305
749.3000 71413 71229
749.4000 71336 71153
749.5000 71259 71076
749.6000 71182 71000
749.7000 71251 71058
749.8000 71320 71116
749.9000 71390 71174
750.0000 71459 71233
750.1000 71528 71291
750.2000 71597 71349
750.3000 71666 71407
750.4000 71735 71465
750.5000 72797 72580
750.6000 74416 74288
750.7000 74641 74508
750.8000 74866 74728
750.9000 75091 74948
751.0000 75316 75169
751.1000 75542 75389
751.2000 75767 75609
751.3000 75992 75829
751.4000 76217 76049
751.5000 76442 76269
751.6000 76667 76489
751.7000 76892 76709
751.8000 77117 76930
751.9000 77342 77150
752.0000 77567 77370
752.1000 77792 77590
752.2000 78234 78031
752.3000 78891 78694
752.4000 79549 79356
752.5000 80207 80019
752.6000 80864 80681
752.7000 81522 81344
752.8000 82180 82006
752.9000 82837 82669
753.0000 NaN 83344
